"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","12",36000000,"1300000","","95",390000,"長方形","7.3","","","","","住宅","西","市道",4.0,"第１種低層住居専用地域",50,80,"2018年第４四半期","",""
2,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","7",54000000,"1100000","","165",320000,"台形","12.0","","","","","住宅","北東","市道",6.4,"第１種低層住居専用地域",50,80,"2018年第３四半期","",""
3,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","8",36000000,"1200000","","105",350000,"不整形","7.3","","","","","その他","南西","私道",4.0,"第１種低層住居専用地域",50,80,"2018年第３四半期","",""
4,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","国分寺","9",26000000,"950000","","90",290000,"不整形","10.0","","","","","その他","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
5,"中古マンション等","","13214","東京都","国分寺市","泉町","国分寺","11",41000000,"","４ＬＤＫ","100",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,80,"2017年第１四半期","未改装",""
6,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",37000000,"","３ＬＤＫ","75",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第４四半期","未改装",""
7,"宅地(土地)","商業地","13214","東京都","国分寺市","泉町","西国分寺","7",56000000,"1700000","","105",530000,"台形","11.7","","","","","","南","都道",20.5,"近隣商業地域",80,300,"2018年第２四半期","",""
8,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","3",23000000,"","３ＬＤＫ","80",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
9,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",44000000,"","２ＬＤＫ","75",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第１四半期","改装済",""
10,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","9",65000000,"","","85",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
11,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","1",48000000,"","３ＬＤＫ","85",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第１四半期","改装済",""
12,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","3",29000000,"","３ＬＤＫ","80",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第１四半期","未改装",""
13,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","西国分寺","7",40000000,"1200000","","110",370000,"長方形","8.2","","","","","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2017年第３四半期","",""
14,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","0",29000000,"","２ＬＤＫ","75",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2017年第３四半期","未改装",""
15,"宅地(土地)","住宅地","13214","東京都","国分寺市","泉町","西国分寺","2",63000000,"1800000","","115",550000,"長方形","6.0","","","","","住宅","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2017年第２四半期","",""
16,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","6",29000000,"","３ＬＤＫ","85",,"","","","","ＲＣ","住宅","事務所","","",,"第１種中高層住居専用地域",60,200,"2017年第２四半期","",""
17,"中古マンション等","","13214","東京都","国分寺市","泉町","西国分寺","6",33000000,"","３ＬＤＫ","70",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第２四半期","未改装",""
