"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","13",68000000,"1800000","","125",540000,"長方形","11.0","","","","","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
2,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","16",64000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第４四半期","未改装",""
3,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","15",60000000,"","２ＬＤＫ","70",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第４四半期","未改装",""
4,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","28",80000000,"","","170",,"ほぼ長方形","10.0","115","平成13年","軽量鉄骨造","住宅","住宅","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
5,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","16",110000000,"","","145",,"長方形","8.0","150","平成15年","木造","住宅","住宅","北東","市道",5.4,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
6,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","9",110000000,"","","100",,"長方形","5.9","100","平成30年","木造","住宅","住宅","北東","私道",6.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
7,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","17",70000000,"","","95",,"不整形","2.4","75","平成30年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
8,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","12",95000000,"","","155",,"長方形","13.3","","","","","住宅","北西","市道",5.5,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","9",120000000,"","","100",,"長方形","5.9","100","平成30年","木造","住宅","住宅","南東","私道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
10,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",30000000,"1300000","","80",380000,"ほぼ長方形","9.0","","","","","住宅","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
11,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","18",67000000,"","３ＬＤＫ","85",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第３四半期","未改装",""
12,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","18",60000000,"","３ＬＤＫ","70",,"","","","平成18年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第３四半期","未改装",""
13,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","22",96000000,"","","135",,"不整形","2.8","105","平成30年","木造","住宅","住宅","北西","市道",4.5,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
14,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",30000000,"","３ＬＤＫ","65",,"","","","昭和53年","ＲＣ","","その他","","",,"第１種低層住居専用地域",50,100,"2018年第２四半期","未改装",""
15,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","14",170000000,"2000000","","280",600000,"ほぼ長方形","18.0","","","","","住宅","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
16,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","12",7000000,"","１Ｋ","10",,"","","","昭和59年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第１四半期","未改装",""
17,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","15",91000000,"1700000","","175",520000,"長方形","9.0","","","","","住宅","南東","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
18,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","11",97000000,"","","130",,"袋地等","3.0","90","平成30年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",50,100,"2017年第４四半期","",""
19,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","11",69000000,"1800000","","125",550000,"不整形","3.0","","","","","住宅","北西","私道",4.0,"第１種低層住居専用地域",50,100,"2017年第４四半期","",""
20,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","15",43000000,"1500000","","95",460000,"ほぼ長方形","6.0","","","","","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
21,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","18",65000000,"","２ＬＤＫ","85",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第４四半期","改装済",""
22,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","26",70000000,"","","135",,"長方形","7.5","105","平成29年","木造","住宅","住宅","南東","私道",3.8,"第１種低層住居専用地域",40,80,"2017年第３四半期","","私道を含む取引"
23,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","15",55000000,"1500000","","120",460000,"袋地等","2.5","","","","","住宅","北西","市道",4.5,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
24,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","9",26000000,"370000","","230",110000,"不整形","4.0","","","","","住宅","南東","市道",4.0,"第１種低層住居専用地域",50,100,"2017年第３四半期","","調停・競売等"
25,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","20",120000000,"1500000","","270",450000,"長方形","11.0","","","","","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
26,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",28000000,"","３ＬＤＫ","65",,"","","","昭和53年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",50,100,"2017年第３四半期","未改装",""
27,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","20",72000000,"","３ＬＤＫ","80",,"","","","平成18年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第３四半期","未改装",""
28,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",43000000,"","１ＬＤＫ","65",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2017年第３四半期","改装済",""
29,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",74000000,"","","140",,"ほぼ長方形","9.0","105","平成6年","木造","住宅","住宅","北東","私道",5.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
30,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","30分?60分",360000000,"1200000","","970",370000,"長方形","16.0","","","","","","南西","市道",9.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
31,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","10",190000000,"1800000","","350",550000,"ほぼ長方形","13.0","","","","","住宅","南東","市道",4.0,"第１種低層住居専用地域",50,100,"2017年第２四半期","",""
32,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","13",110000000,"1600000","","220",500000,"袋地等","","","","","","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
33,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","16",29000000,"","１ＬＤＫ","50",,"","","","昭和59年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2017年第２四半期","未改装",""
34,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",42000000,"","２ＬＤＫ","75",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2017年第２四半期","",""
35,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","18",69000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第２四半期","未改装",""
36,"宅地(土地)","商業地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","12",60000000,"2800000","","70",860000,"ほぼ長方形","3.5","","","","","","南西","都道",15.0,"近隣商業地域",80,300,"2017年第１四半期","",""
37,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",86000000,"1600000","","175",490000,"ほぼ長方形","15.0","","","","","その他","南西","私道",7.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
38,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","13",130000000,"2000000","","220",590000,"ほぼ長方形","12.0","","","","","その他","南西","市道",5.4,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
39,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","15",68000000,"1900000","","120",570000,"ほぼ長方形","8.0","","","","","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
40,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",34000000,"","３ＬＤＫ","80",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2017年第１四半期","未改装",""
41,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",40000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2017年第１四半期","未改装",""
42,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","20",85000000,"","","240",,"ほぼ長方形","18.0","80","昭和58年","木造","住宅","その他","北西","私道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
43,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","28",68000000,"","","120",,"ほぼ長方形","9.0","95","平成28年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
44,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","28",82000000,"","","125",,"ほぼ長方形","10.0","100","平成28年","木造","住宅","住宅","東","私道",5.5,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
45,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","13",68000000,"","","80",,"長方形","8.0","145","平成15年","木造","住宅","住宅","北西","私道",3.7,"近隣商業地域",80,300,"2016年第４四半期","","私道を含む取引"
46,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",34000000,"","３ＬＤＫ","60",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2016年第４四半期","改装済",""
47,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","29",73000000,"","","125",,"長方形","8.4","100","平成27年","木造","住宅","","西","私道",4.5,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
48,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","30分?60分",58000000,"1600000","","120",490000,"ほぼ長方形","9.0","","","","","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
49,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","29",63000000,"1700000","","120",520000,"長方形","11.7","","","","","住宅","南西","市道",9.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
50,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",73000000,"1500000","","155",470000,"長方形","8.0","","","","","住宅","南東","市道",4.5,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
51,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","2H?",59000000,"","","70",,"ほぼ正方形","8.5","70","昭和60年","木造","住宅","住宅","南東","私道",12.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
52,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",39000000,"","４ＬＤＫ","80",,"","","","昭和49年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2016年第２四半期","改装済",""
53,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","30分?60分",79000000,"","","200",,"ほぼ長方形","16.0","150","昭和58年","木造","住宅","住宅","西","私道",3.8,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
54,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","28",77000000,"","","125",,"長方形","","100","平成27年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
55,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","吉祥寺","19",48000000,"","３ＬＤＫ","75",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2016年第１四半期","未改装",""
56,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","21",72000000,"1600000","","145",500000,"ほぼ長方形","8.2","","","","","住宅","南西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","","私道を含む取引"
57,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","三鷹","15",48000000,"","２ＬＤＫ","60",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2018年第４四半期","未改装",""
58,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","20",69000000,"","","145",,"不整形","2.6","95","平成30年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
59,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","23",54000000,"1400000","","130",410000,"ほぼ長方形","14.5","","","","","住宅","南西","私道",3.6,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
60,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","21",73000000,"","","140",,"不整形","3.4","95","平成30年","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
61,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","20",77000000,"","","130",,"ほぼ長方形","5.2","95","平成30年","木造","住宅","住宅","北西","私道",5.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
62,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","24",52000000,"","","115",,"ほぼ長方形","7.0","75","平成14年","木造","住宅","","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","","私道を含む取引"
63,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","25",75000000,"1400000","","170",440000,"長方形","12.0","","","","","","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
64,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","16",64000000,"1400000","","150",430000,"長方形","14.0","","","","","住宅","北","私道",4.0,"第１種低層住居専用地域",50,100,"2017年第３四半期","",""
65,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","28",58000000,"","","210",,"長方形","11.0","","","木造","住宅","住宅","北西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","","私道を含む取引"
66,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","18",89000000,"","","105",,"ほぼ長方形","5.5","110","平成29年","木造","住宅","住宅","南東","私道",4.0,"第１種住居地域",60,200,"2017年第３四半期","",""
67,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","18",82000000,"","","100",,"ほぼ長方形","5.4","110","平成29年","木造","住宅","住宅","南東","私道",4.0,"第１種住居地域",60,200,"2017年第２四半期","",""
68,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","23",100000000,"","","340",,"不整形","11.8","175","昭和61年","木造","住宅","","南東","私道",4.5,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
69,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","18",88000000,"","","150",,"不整形","3.0","115","平成29年","木造","住宅","住宅","南東","私道",3.7,"第１種住居地域",60,200,"2017年第１四半期","","私道を含む取引"
70,"中古マンション等","","13203","東京都","武蔵野市","吉祥寺北町","三鷹","21",60000000,"","","75",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",50,100,"2017年第１四半期","未改装",""
71,"宅地(土地)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","16",170000000,"1600000","","350",470000,"長方形","16.0","","","","","住宅","北西","私道",4.0,"第１種住居地域",60,200,"2016年第３四半期","",""
72,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","16",50000000,"","","100",,"長方形","8.0","155","平成3年","鉄骨造","共同住宅","住宅","北西","私道",4.0,"第１種住居地域",60,200,"2016年第３四半期","",""
73,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","28",86000000,"","","125",,"ほぼ正方形","11.0","100","平成28年","木造","住宅","住宅","西","私道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
74,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","29",91000000,"","","125",,"ほぼ整形","12.0","100","平成28年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
75,"宅地(土地と建物)","住宅地","13203","東京都","武蔵野市","吉祥寺北町","三鷹","28",85000000,"","","125",,"長方形","10.3","100","平成28年","木造","住宅","住宅","北西","私道",6.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
