"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","高松(東京)","16",39000000,"850000","","150",260000,"長方形","14.4","","","","","その他","東","市道",4.4,"第１種低層住居専用地域",50,100,"2016年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","高松(東京)","15",37000000,"","","105",,"長方形","7.2","85","平成28年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",50,100,"2016年第３四半期","","私道を含む取引"
3,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","16",26000000,"","","45",,"ほぼ正方形","7.7","65","平成12年","軽量鉄骨造","住宅、店舗","その他","南東","市道",6.8,"準工業地域",60,200,"2019年第１四半期","",""
4,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","18",25000000,"1100000","","80",320000,"長方形","5.9","","","","","住宅","南","市道",5.0,"第１種低層住居専用地域",50,100,"2019年第１四半期","",""
5,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",27000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第１四半期","未改装",""
6,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",6000000,"","１Ｋ","20",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第１四半期","未改装",""
7,"中古マンション等","","13202","東京都","立川市","曙町","立川","12",33000000,"","２ＬＤＫ","65",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2019年第１四半期","未改装",""
8,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",41000000,"","２ＬＤＫ","85",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2019年第１四半期","未改装",""
9,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","18",25000000,"1100000","","80",320000,"長方形","5.9","","","","","住宅","南","市道",5.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
10,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","19",6800000,"","","60",,"ほぼ長方形","14.8","30","","木造","住宅","その他","東","都道",5.5,"第１種低層住居専用地域",40,100,"2018年第４四半期","",""
11,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",27000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2018年第４四半期","",""
12,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",49000000,"","３ＬＤＫ","70",,"","","","","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2018年第４四半期","改装済",""
13,"中古マンション等","","13202","東京都","立川市","曙町","立川","5",26000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,600,"2018年第４四半期","未改装",""
14,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",48000000,"","３ＬＤＫ","75",,"","","","平成11年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2018年第４四半期","未改装",""
15,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",28000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2018年第４四半期","未改装",""
16,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","8",42000000,"","","105",,"袋地等","2.5","125","平成13年","木造","住宅","住宅","北西","市道",3.6,"準工業地域",60,200,"2018年第３四半期","",""
17,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","17",44000000,"","","145",,"長方形","14.3","95","平成30年","木造","住宅","住宅","西","市道",3.3,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
18,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","10",72000000,"","","105",,"台形","10.0","115","平成30年","木造","共同住宅","住宅","西","私道",1.8,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
19,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",49000000,"","４ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2018年第３四半期","改装済",""
20,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","19",42000000,"","","120",,"ほぼ長方形","14.0","120","平成3年","軽量鉄骨造","住宅","住宅","東","市道",5.5,"第１種低層住居専用地域",50,100,"2018年第２四半期","",""
21,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","16",32000000,"960000","","110",290000,"長方形","9.0","","","","","住宅","北","市道",5.0,"第１種低層住居専用地域",50,100,"2018年第２四半期","",""
22,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","21",88000000,"2200000","","135",660000,"不整形","2.8","","","","","","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
23,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",35000000,"","１ＬＤＫ","55",,"","","","平成13年","ＲＣ","住宅","その他","","",,"商業地域",80,600,"2018年第２四半期","改装済",""
24,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",30000000,"","３ＬＤＫ","65",,"","","","","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2018年第２四半期","未改装",""
25,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",37000000,"","２ＬＤＫ","80",,"","","","平成13年","ＳＲＣ","住宅","その他","","",,"商業地域",80,500,"2018年第２四半期","未改装",""
26,"宅地(土地と建物)","商業地","13202","東京都","立川市","曙町","立川","7",1200000000,"","","240",,"台形","21.0","1400","","","","住宅","北東","市道",11.2,"商業地域",80,600,"2018年第１四半期","",""
27,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",31000000,"","２ＬＤＫ","50",,"","","","平成20年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
28,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","13",39000000,"","","95",,"不整形","2.5","115","平成29年","木造","住宅","住宅","南東","市道",3.6,"準工業地域",60,200,"2017年第４四半期","",""
29,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","10",36000000,"1400000","","85",420000,"ほぼ長方形","9.0","","","","","住宅","北東","市道",3.6,"第１種住居地域",60,200,"2017年第４四半期","",""
30,"宅地(土地)","住宅地","13202","東京都","立川市","曙町","立川","9",38000000,"1600000","","80",490000,"長方形","6.0","","","","","住宅","北","道路",4.0,"第１種住居地域",60,200,"2017年第４四半期","",""
31,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","14",39000000,"","","65",,"長方形","4.5","105","平成29年","木造","住宅","住宅","南東","市道",3.6,"準工業地域",60,200,"2017年第４四半期","",""
32,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",22000000,"","１Ｋ","30",,"","","","平成18年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,300,"2017年第４四半期","未改装",""
33,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",23000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","","","",,"近隣商業地域",80,300,"2017年第４四半期","",""
34,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",19000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2017年第４四半期","未改装",""
35,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",42000000,"","２ＬＤＫ","55",,"","","","平成20年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2017年第４四半期","改装済",""
36,"宅地(土地と建物)","商業地","13202","東京都","立川市","曙町","立川","4",310000000,"","","450",,"長方形","34.5","240","昭和44年","木造","住宅、共同住宅","住宅","南東","市道",2.7,"近隣商業地域",80,300,"2017年第３四半期","",""
37,"中古マンション等","","13202","東京都","立川市","曙町","立川","11",40000000,"","２ＬＤＫ","55",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第３四半期","改装済",""
38,"中古マンション等","","13202","東京都","立川市","曙町","立川","8",17000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","その他","","",,"商業地域",80,400,"2017年第３四半期","",""
39,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",37000000,"","２ＬＤＫ","75",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第３四半期","未改装",""
40,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","18",54000000,"","","150",,"ほぼ長方形","10.0","110","平成29年","木造","住宅","","東","市道",5.5,"第１種低層住居専用地域",50,100,"2017年第２四半期","","私道を含む取引"
41,"中古マンション等","","13202","東京都","立川市","曙町","立川","9",18000000,"","１Ｋ","20",,"","","","平成18年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,300,"2017年第２四半期","未改装",""
42,"中古マンション等","","13202","東京都","立川市","曙町","立川","7",40000000,"","２ＤＫ","60",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","改装済",""
43,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",30000000,"","１ＬＤＫ＋Ｓ","55",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","未改装",""
44,"中古マンション等","","13202","東京都","立川市","曙町","立川","6",42000000,"","３ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2017年第２四半期","未改装",""
45,"宅地(土地と建物)","住宅地","13202","東京都","立川市","曙町","立川","11",65000000,"","","110",,"ほぼ長方形","12.5","115","平成29年","木造","共同住宅","住宅","西","私道",1.8,"第１種中高層住居専用地域",60,200,"2017年第１四半期","",""
46,"中古マンション等","","13202","東京都","立川市","曙町","立川","2",83000000,"","２ＬＤＫ","70",,"","","","平成28年","ＲＣ","住宅","事務所","","",,"商業地域",80,600,"2017年第１四半期","未改装",""
