"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",24000000,"","１ＬＤＫ","35",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2018年第４四半期","未改装",""
2,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",13000000,"","１Ｋ","20",,"","","","昭和57年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2018年第３四半期","未改装",""
3,"宅地(土地と建物)","商業地","13101","東京都","千代田区","飯田橋","飯田橋","3",250000000,"","","80",,"ほぼ台形","6.8","330","昭和61年","ＲＣ","住宅、事務所、店舗","事務所","南西","区道",8.0,"商業地域",80,500,"2018年第２四半期","",""
4,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",22000000,"","１Ｋ","30",,"","","","昭和60年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2018年第２四半期","未改装",""
5,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",69000000,"","２ＬＤＫ","70",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2018年第２四半期","未改装",""
6,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","3",21000000,"","１Ｋ","25",,"","","","昭和60年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,700,"2018年第２四半期","未改装",""
7,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",81000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2018年第２四半期","未改装",""
8,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","4",45000000,"","１ＬＤＫ","45",,"","","","昭和57年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,700,"2018年第１四半期","改装済",""
9,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","1",66000000,"","２ＬＤＫ","55",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2017年第４四半期","改装済",""
10,"中古マンション等","","13101","東京都","千代田区","飯田橋","飯田橋","5",19000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","","住宅","","",,"商業地域",80,500,"2017年第４四半期","未改装",""
