"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","曙橋","5",340000000,"","","90",,"台形","10.9","","平成27年","ＲＣ","共同住宅","住宅","北","区道",5.2,"商業地域",80,600,"2016年第１四半期","",""
2,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","3",150000000,"","","250",,"ほぼ長方形","","","","","","住宅","北","私道",4.0,"第２種中高層住居専用地域",60,300,"2018年第４四半期","",""
3,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","2",57000000,"","","120",,"不整形","","240","昭和61年","ＲＣ","住宅、倉庫","住宅","西","私道",2.5,"第１種住居地域",60,400,"2018年第３四半期","",""
4,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","1",60000000,"","２ＬＤＫ","45",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第２四半期","未改装",""
5,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","1",43000000,"","","35",,"","","","平成26年","ＲＣ","","住宅","","",,"商業地域",80,500,"2018年第１四半期","未改装",""
6,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","1",62000000,"","","55",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第１四半期","未改装",""
7,"中古マンション等","","13104","東京都","新宿区","愛住町","四谷三丁目","1",74000000,"","２ＬＤＫ","60",,"","","","平成26年","ＲＣ","","住宅","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
8,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","愛住町","四谷三丁目","2",100000000,"","","120",,"不整形","","240","昭和61年","ＲＣ","住宅、倉庫","","西","私道",2.4,"第１種住居地域",60,400,"2017年第１四半期","",""
9,"宅地(土地と建物)","住宅地","13104","東京都","新宿区","赤城下町","神楽坂","4",71000000,"","","175",,"台形","","330","昭和37年","ＲＣ","共同住宅","住宅","東","私道",4.0,"第２種住居地域",60,300,"2018年第４四半期","",""
10,"宅地(土地)","住宅地","13104","東京都","新宿区","赤城下町","神楽坂","5",69000000,"2700000","","85",820000,"ほぼ長方形","4.3","","","","","住宅","西","区道",4.7,"第２種住居地域",60,300,"2018年第３四半期","",""
11,"中古マンション等","","13104","東京都","新宿区","赤城下町","神楽坂","5",50000000,"","２ＬＤＫ","55",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2018年第３四半期","改装済",""
