"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13114","東京都","中野区","新井","新井薬師前","9",40000000,"2400000","","55",730000,"台形","4.1","","","","","住宅","北","区道",2.6,"近隣商業地域",80,300,"2018年第４四半期","",""
2,"宅地(土地と建物)","住宅地","13114","東京都","中野区","新井","新井薬師前","9",14000000,"","","55",,"不整形","5.0","","","","","その他","北東","区道",2.7,"近隣商業地域",80,300,"2018年第３四半期","",""
3,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","7",32000000,"","１ＬＤＫ","35",,"","","","平成17年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2018年第３四半期","改装済",""
4,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","5",45000000,"","３ＬＤＫ","55",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2018年第２四半期","未改装",""
5,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","5",11000000,"","１Ｋ","10",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2018年第２四半期","改装済",""
6,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","8",23000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2018年第２四半期","未改装",""
7,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","4",43000000,"","","50",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2018年第２四半期","",""
8,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","6",20000000,"","","40",,"","","","昭和52年","ＲＣ","","住宅","","",,"近隣商業地域",80,400,"2018年第１四半期","",""
9,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","7",17000000,"","１ＤＫ","25",,"","","","平成16年","ＲＣ","","住宅","","",,"近隣商業地域",80,400,"2018年第１四半期","未改装",""
10,"中古マンション等","","13114","東京都","中野区","新井","新井薬師前","6",30000000,"","２ＤＫ","40",,"","","","昭和52年","ＲＣ","","住宅","","",,"近隣商業地域",80,400,"2018年第１四半期","改装済",""
