"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",47000000,"990000","","155",300000,"長方形","","","","","","","東","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
2,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","16",57000000,"","","135",,"ほぼ長方形","8.4","100","平成29年","木造","住宅","住宅","南","市道",5.8,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
3,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",190000000,"","","670",,"長方形","43.7","320","平成11年","軽量鉄骨造","事務所、倉庫","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
4,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",45000000,"","","120",,"不整形","","85","平成19年","木造","住宅","住宅","西","市道",4.5,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
5,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","9",9000000,"410000","","75",120000,"ほぼ長方形","5.4","","","","","その他","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
6,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",41000000,"","","110",,"ほぼ長方形","9.3","85","平成18年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
7,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",54000000,"890000","","200",270000,"ほぼ長方形","10.7","","","","","","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
8,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","13",61000000,"","","210",,"長方形","13.1","85","昭和36年","","住宅","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
9,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","新小金井","12",47000000,"","","105",,"長方形","5.5","85","平成28年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
10,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","東小金井","15",56000000,"","","140",,"袋地等","2.0","100","平成30年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
11,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","東小金井","20",58000000,"","","120",,"長方形","9.5","95","平成28年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
12,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","三鷹","23",150000000,"","","660",,"長方形","32.5","175","昭和62年","木造","共同住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
13,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","19",68000000,"","","150",,"不整形","8.8","100","平成30年","木造","住宅","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
14,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",52000000,"","","165",,"長方形","","120","昭和64年","","","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
15,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","21",39000000,"","３ＬＤＫ","80",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第４四半期","未改装",""
16,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","13",45000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2018年第４四半期","改装済",""
17,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","24",49000000,"","","105",,"ほぼ整形","8.0","85","平成30年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
18,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",130000000,"","","500",,"ほぼ長方形","17.0","300","平成5年","木造","共同住宅","住宅","東","市道",6.2,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
19,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","13",170000000,"1100000","","520",320000,"不整形","18.6","","","","","","西","市道",4.4,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
20,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",29000000,"630000","","150",190000,"ほぼ長方形","","","","","","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
21,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","21",52000000,"","４ＬＤＫ","75",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",,,"2018年第３四半期","未改装",""
22,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","15",70000000,"","","110",,"ほぼ長方形","","105","平成29年","木造","住宅","","西","市道",4.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
23,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",50000000,"","","100",,"袋地等","","80","平成30年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
24,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",34000000,"","","105",,"長方形","7.5","45","平成3年","木造","住宅","","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
25,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","29",45000000,"","","105",,"袋地等","3.1","80","平成29年","木造","住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","","隣地の購入、私道を含む取引"
26,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","20",39000000,"","３ＬＤＫ","85",,"","","","平成16年","ＲＣ","","住宅","","",,"",,,"2018年第２四半期","改装済",""
27,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","13",52000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2018年第２四半期","未改装",""
28,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","20",51000000,"","","130",,"長方形","7.0","95","平成29年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
29,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","15",64000000,"","","110",,"ほぼ長方形","13.5","105","平成29年","木造","住宅","住宅","東","市道",3.8,"第１種住居地域",60,200,"2018年第１四半期","",""
30,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","28",50000000,"","","100",,"長方形","6.5","80","平成29年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
31,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","28",63000000,"","","110",,"長方形","6.7","90","平成29年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
32,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",78000000,"","","120",,"ほぼ正方形","10.9","95","平成28年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
33,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","17",15000000,"","２ＬＤＫ","65",,"","","","昭和49年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2018年第１四半期","未改装",""
34,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","20",49000000,"","３ＬＤＫ","75",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2018年第１四半期","未改装",""
35,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","19",27000000,"","２ＤＫ","55",,"","","","平成19年","ＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,200,"2018年第１四半期","未改装",""
36,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",8000000,"","","85",,"袋地等","3.0","","","","","","南","市道",3.9,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
37,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","13",46000000,"1400000","","115",410000,"長方形","7.6","","","","","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
