"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
38,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","24",35000000,"1000000","","110",320000,"ほぼ長方形","6.7","","","","","","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
39,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",47000000,"","","115",,"袋地等","2.8","90","平成29年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
40,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","28",54000000,"","","100",,"長方形","6.3","80","平成29年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
41,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","17",62000000,"","","145",,"ほぼ正方形","12.2","100","平成29年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","","私道を含む取引"
42,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","20",48000000,"","","100",,"ほぼ長方形","8.2","85","平成29年","木造","住宅","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
43,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","28",67000000,"","","115",,"ほぼ整形","5.8","90","平成29年","木造","住宅","住宅","南","市道",4.1,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
44,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","25",27000000,"","３ＬＤＫ","40",,"","","","平成14年","鉄骨造","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第３四半期","未改装",""
45,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","19",54000000,"","","110",,"ほぼ整形","8.7","85","平成29年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
46,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","14",60000000,"","","100",,"長方形","9.0","110","平成28年","木造","住宅","住宅","西","市道",5.0,"第１種中高層住居専用地域",60,200,"2017年第２四半期","",""
47,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","14",48000000,"","","135",,"長方形","8.0","135","昭和63年","木造","住宅","住宅","西","私道",3.6,"第１種中高層住居専用地域",60,200,"2017年第２四半期","","私道を含む取引"
48,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","13",48000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2017年第２四半期","改装済",""
49,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","17",55000000,"","","110",,"不整形","7.9","90","平成28年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
50,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",60000000,"","","120",,"ほぼ長方形","9.0","95","平成28年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
51,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",60000000,"","","110",,"ほぼ長方形","7.1","90","平成26年","木造","住宅","住宅","南西","市道",5.5,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
52,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",60000000,"","","220",,"長方形","13.2","110","昭和48年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
53,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",79000000,"","","115",,"長方形","8.4","95","平成28年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
54,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",59000000,"","","120",,"長方形","","95","平成29年","木造","住宅","住宅","北","私道",6.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
55,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","28",39000000,"","","90",,"長方形","6.3","70","平成28年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
56,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","15",75000000,"","","115",,"ほぼ長方形","14.5","90","平成28年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
57,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","24",47000000,"","","115",,"不整形","2.8","90","平成29年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
58,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","24",51000000,"","","105",,"ほぼ長方形","7.6","85","平成29年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
59,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","25",35000000,"","３ＬＤＫ","80",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
60,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","13",45000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2017年第１四半期","未改装",""
61,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","18",55000000,"","４ＬＤＫ","90",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2017年第１四半期","未改装",""
62,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",68000000,"","","120",,"長方形","9.7","95","平成27年","木造","住宅","","南","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
63,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",54000000,"","","105",,"ほぼ長方形","9.1","85","平成28年","木造","住宅","住宅","北","私道",5.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
64,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",70000000,"","","125",,"ほぼ長方形","10.5","100","平成27年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
65,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",60000000,"","","120",,"長方形","9.0","95","平成28年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
66,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",80000000,"","","120",,"ほぼ正方形","10.3","95","平成28年","木造","事務所","事務所","東","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
67,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","15",76000000,"","","115",,"長方形","11.5","90","平成28年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
68,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",80000000,"","","120",,"ほぼ正方形","10.8","95","平成29年","木造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
69,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",76000000,"","","115",,"長方形","11.0","90","平成28年","木造","住宅","住宅","西","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第４四半期","",""
70,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","17",20000000,"","３ＬＤＫ","70",,"","","","昭和49年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2016年第４四半期","未改装",""
71,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","18",48000000,"1500000","","105",460000,"ほぼ長方形","8.5","","","","","住宅","南","道路",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
72,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","14",51000000,"","","105",,"ほぼ長方形","6.0","85","平成28年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
73,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","14",50000000,"","","105",,"長方形","5.9","85","平成28年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
74,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","13",49000000,"","","105",,"ほぼ長方形","5.5","80","平成28年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
75,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",65000000,"","","125",,"長方形","9.6","95","平成28年","木造","住宅","住宅","南","私道",6.0,"第１種低層住居専用地域",40,80,"2016年第３四半期","",""
76,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","20",41000000,"","３ＬＤＫ","70",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第３四半期","未改装",""
77,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","25",31000000,"","３ＬＤＫ","25",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2016年第３四半期","未改装",""
78,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","13",39000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","住宅","その他","","",,"第２種中高層住居専用地域",60,200,"2016年第３四半期","未改装",""
79,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",59000000,"","","120",,"長方形","9.4","95","平成27年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
80,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",49000000,"","","165",,"ほぼ長方形","9.0","130","平成3年","木造","共同住宅","住宅","東","市道",6.2,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
81,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","19",61000000,"690000","","290",210000,"不整形","13.8","","","","","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
82,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","21",42000000,"","","130",,"不整形","8.0","","","","","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
83,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","20",66000000,"","","120",,"長方形","9.3","95","平成28年","木造","住宅","住宅","南","私道",6.0,"第１種低層住居専用地域",40,80,"2016年第２四半期","",""
84,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","26",18000000,"","２ＬＤＫ","60",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2016年第２四半期","未改装",""
85,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","15",310000000,"1200000","","840",360000,"ほぼ長方形","26.5","","","","","","東","市道",16.0,"第２種中高層住居専用地域",60,200,"2016年第１四半期","",""
86,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","13",40000000,"1200000","","105",370000,"ほぼ長方形","7.9","","","","","","西","市道",4.3,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
87,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","24",66000000,"","","120",,"長方形","","95","平成27年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
88,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","16",50000000,"","","120",,"長方形","8.5","95","平成16年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
89,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","14",36000000,"930000","","125",280000,"ほぼ長方形","","","","","","住宅","南東","私道",4.3,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
90,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井口","武蔵境","23",66000000,"","","120",,"ほぼ長方形","9.3","95","平成28年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,80,"2016年第１四半期","",""
91,"宅地(土地)","住宅地","13204","東京都","三鷹市","井口","武蔵境","13",53000000,"1100000","","160",340000,"ほぼ長方形","13.4","","","","","住宅","南","私道",4.0,"第１種低層住居専用地域",40,80,"2016年第１四半期","","私道を含む取引"
92,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","14",41000000,"","３ＬＤＫ","70",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2016年第１四半期","未改装",""
93,"中古マンション等","","13204","東京都","三鷹市","井口","武蔵境","14",30000000,"","３ＤＫ","55",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種低層住居専用地域",40,80,"2016年第１四半期","改装済",""
94,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","6",88000000,"","","130",,"袋地等","","95","平成30年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,60,"2018年第４四半期","",""
95,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","6",95000000,"","","120",,"ほぼ長方形","8.2","95","平成30年","木造","住宅","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
96,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","4",96000000,"1900000","","170",570000,"袋地等","","","","","","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
97,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","10",80000000,"1800000","","145",550000,"長方形","10.5","","","","","住宅","南東","市道",3.8,"第１種低層住居専用地域",40,80,"2018年第３四半期","","私道を含む取引"
98,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","9",67000000,"","","110",,"長方形","8.4","85","平成21年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
99,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","8",120000000,"1300000","","310",380000,"ほぼ整形","27.0","","","","","住宅","南東","市道",2.8,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
100,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","13",52000000,"","","100",,"ほぼ長方形","9.0","95","昭和63年","木造","住宅","住宅","東","市道",2.9,"第１種低層住居専用地域",40,80,"2018年第２四半期","","私道を含む取引"
101,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","7",110000000,"1500000","","240",460000,"ほぼ正方形","14.1","","","","","住宅","北西","私道",4.2,"第１種低層住居専用地域",40,80,"2018年第２四半期","","私道を含む取引"
102,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","4",92000000,"2100000","","145",640000,"ほぼ長方形","8.4","","","","","住宅","東","市道",4.8,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
103,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","11",70000000,"","","165",,"不整形","3.5","120","平成9年","木造","住宅","","南東","市道",4.3,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
104,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","14",62000000,"1800000","","115",540000,"ほぼ長方形","8.1","","","","","住宅","北","市道",3.9,"第１種低層住居専用地域",40,80,"2017年第４四半期","","私道を含む取引"
105,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","7",400000000,"","","620",,"長方形","20.0","680","平成19年","ＲＣ","住宅","","西","市道",3.9,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
106,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","2",730000000,"","","1300",,"ほぼ正方形","38.0","400","昭和41年","ＳＲＣ","住宅","住宅","東","市道",3.7,"第１種低層住居専用地域",40,80,"2017年第３四半期","","私道を含む取引"
107,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","12",62000000,"","","100",,"長方形","6.1","80","平成29年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",30,60,"2017年第３四半期","",""
108,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","8",46000000,"","","70",,"ほぼ長方形","7.5","55","平成26年","木造","住宅","住宅","南東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
109,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","3",160000000,"","","300",,"ほぼ長方形","15.1","125","平成7年","木造","住宅","その他","東","市道",4.8,"第１種低層住居専用地域",40,80,"2017年第２四半期","","私道を含む取引"
110,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","11",70000000,"1700000","","135",510000,"不整形","","","","","","住宅","西","私道",4.5,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
111,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","7",83000000,"1400000","","195",420000,"ほぼ正方形","13.0","","","","","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
112,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","5",98000000,"","","130",,"不整形","4.3","100","平成27年","木造","住宅","住宅","北","私道",6.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
113,"宅地(土地と建物)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","4",38000000,"","","150",,"ほぼ長方形","10.0","","","","","事務所","南","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
114,"宅地(土地)","住宅地","13204","東京都","三鷹市","井の頭","井の頭公園","4",250000000,"1900000","","430",570000,"ほぼ長方形","16.0","","","","","住宅","東","市道",5.8,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
