"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","3",82000000,"","３ＬＤＫ","65",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第４四半期","未改装",""
2,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","6",11000000,"","１Ｋ","20",,"","","","昭和53年","ＳＲＣ","住宅","その他","","",,"第２種住居地域",60,400,"2018年第４四半期","未改装",""
3,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","4",41000000,"","１ＬＤＫ","45",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第２四半期","改装済",""
4,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","4",23000000,"","１Ｋ","20",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2018年第２四半期","未改装",""
5,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","5",30000000,"","","25",,"","","","","ＲＣ","","住宅","","",,"第２種住居地域",60,400,"2018年第１四半期","未改装",""
6,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","4",10000000,"","１Ｒ","15",,"","","","昭和60年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2017年第３四半期","未改装",""
7,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","5",30000000,"","２ＬＤＫ","45",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2017年第２四半期","未改装",""
8,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","6",11000000,"","１Ｋ","20",,"","","","昭和53年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2016年第３四半期","未改装","調停・競売等"
9,"中古マンション等","","13102","東京都","中央区","明石町","新富町(東京)","5",78000000,"","","70",,"","","","","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,400,"2016年第３四半期","未改装",""
10,"中古マンション等","","13102","東京都","中央区","明石町","築地","8",53000000,"","２ＬＤＫ","50",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
11,"宅地(土地と建物)","住宅地","13102","東京都","中央区","明石町","築地","8",1200000000,"","","240",,"ほぼ長方形","13.5","1200","平成18年","ＲＣ","共同住宅、駐車場","住宅","北西","区道",42.0,"第２種住居地域",60,400,"2018年第２四半期","","隣地の購入"
