"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","新小金井","12",100000000,"530000","","630",160000,"不整形","","","","","","","南","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
2,"宅地(土地)","商業地","13210","東京都","小金井市","梶野町","東小金井","3",88000000,"1900000","","155",570000,"長方形","7.0","","","","","その他","西","道路",20.0,"近隣商業地域",80,300,"2018年第４四半期","",""
3,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","6",67000000,"870000","","250",260000,"長方形","21.0","","","","","住宅","東","私道",3.5,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
4,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","3",67000000,"1500000","","145",470000,"ほぼ長方形","7.1","","","","","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","",""
5,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","15",26000000,"790000","","110",240000,"長方形","15.0","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第４四半期","","私道を含む取引"
6,"中古マンション等","","13210","東京都","小金井市","梶野町","東小金井","5",17000000,"","２ＤＫ","35",,"","","","昭和61年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2018年第４四半期","改装済",""
7,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","18",46000000,"","","80",,"長方形","6.3","80","平成30年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",50,100,"2018年第３四半期","",""
8,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","7",56000000,"1300000","","140",400000,"ほぼ長方形","20.3","","","","","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
9,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","7",160000000,"1300000","","410",400000,"ほぼ長方形","50.0m以上","","","","","","西","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
10,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","11",54000000,"","","100",,"ほぼ長方形","7.8","80","平成30年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
11,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","9",52000000,"","","100",,"袋地等","2.7","80","平成30年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
12,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","16",53000000,"1100000","","160",320000,"ほぼ整形","","","","","","住宅","南","市道",5.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
13,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","7",80000000,"","","220",,"袋地等","","175","","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第３四半期","",""
14,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","14",68000000,"","","120",,"ほぼ長方形","6.9","95","平成20年","木造","住宅","住宅","北東","道路",5.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","",""
15,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","7",52000000,"1600000","","105",490000,"長方形","9.2","","","","","","南","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第２四半期","","隣地の購入"
16,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","8",4600000,"290000","","55",87000,"不整形","2.7","","","","","その他","接面道路無","",,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
17,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","16",43000000,"","","100",,"長方形","8.1","80","平成25年","木造","住宅","住宅","西","道路",4.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
18,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","18",44000000,"","","105",,"長方形","7.3","85","平成26年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
19,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","13",58000000,"","","110",,"長方形","6.8","90","平成30年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2018年第１四半期","",""
20,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","13",47000000,"","","100",,"不整形","2.7","80","平成29年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
21,"宅地(土地)","住宅地","13210","東京都","小金井市","梶野町","東小金井","11",35000000,"950000","","120",290000,"長方形","8.5","","","","","住宅","南","市道",3.6,"第１種低層住居専用地域",40,80,"2017年第４四半期","",""
22,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","4",54000000,"","","110",,"台形","11.8","115","平成6年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
23,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","9",140000000,"","","320",,"袋地等","","270","平成29年","木造","共同住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第３四半期","",""
24,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","14",53000000,"","","115",,"長方形","7.7","90","平成29年","木造","住宅","住宅","北","私道",4.0,"第１種低層住居専用地域",40,80,"2017年第２四半期","",""
25,"宅地(土地と建物)","住宅地","13210","東京都","小金井市","梶野町","東小金井","13",45000000,"","","110",,"ほぼ長方形","9.0","85","平成23年","木造","住宅","住宅","東","市道",4.0,"第１種低層住居専用地域",40,80,"2017年第１四半期","",""
